player;team;appearances;average_rating;fantasy_average;goals;goals_conceded;penalties;penalties_saved;assists;yellow_cards;red_cards;season
Sherri;CAG;7;0.6;4.43;0;11;0 / 0;0;0;0;0;2024-25
Montipo';VER;36;6.15;4.4;0;64;0 / 0;1;0;0;0;2024-25
Scuffet;NAP;14;5.96;4.25;0;24;0 / 0;0;0;0;0;2024-25
Gollini;ROM;7;0.6;4.21;0;15;0 / 0;1;0;1;0;2024-25
Pizzignacco;MON;9;0.6;3.89;0;17;0 / 0;0;0;0;0;2024-25
Silvestri;EMP;5;0.58;0.36;0;11;0 / 0;0;0;0;0;2024-25
Audero;COM;8;5.81;3.56;0;18;0 / 0;0;0;0;0;2024-25
Paleari;TOR;1;0.65;0.35;0;3;0 / 0;0;0;0;0;2024-25
Joronen;VEN;8;5.62;0.35;0;15;0 / 0;0;0;0;0;2024-25
Seghetti;EMP;1;0.6;0.3;0;3;0 / 0;0;0;0;0;2024-25
Alli;COM;1;0.4;0.3;0;0;0 / 0;0;0;0;1;2024-25
Chichizola;PAR;1;0.55;0.25;0;3;0 / 0;0;0;0;0;2024-25
Rossi F.;ATA;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Hateboer;ATA;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Scamacca;ATA;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Toure' E.;ATA;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Bagnolini;BOL;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Ilic M.;BOL;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Corazza;BOL;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Radunovic;CAG;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Hatzidiakos;CAG;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Veroli;CAG;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Di Pardo;CAG;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Jankto;CAG;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Vigorito;COM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Varane;COM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Kovacik;COM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Cassandro;COM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Abildgaard;COM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Bellemo;COM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Jasim;COM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Gioacchini;COM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Chiorra;EMP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Perisan;EMP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Stojanovic;EMP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Belardinelli;EMP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Degli Innocenti;EMP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Shpendi S.;EMP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Caputo;EMP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Christensen O.;FIO;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Martinelli T.;FIO;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Lucchesi;VEN;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Nzola;FIO;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Di Gennaro;INT;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Pinsoglio;JUV;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Rugani;JUV;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Djalo';JUV;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Kostic;JUV;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Chiesa;JUV;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Milik;JUV;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Furlanetto;LAZ;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Fruchtl;LEC;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Samooja;LEC;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Listkowski;LEC;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Nava;MIL;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Cragno;MON;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Sorrentino A.;MON;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Bettella;MON;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Machin;MON;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Contini;NAP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Natan;NAP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Mario Rui;NAP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Cajuste;NAP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Osimhen;NAP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Corvi;PAR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Rinaldi;PAR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Di Chiara;PAR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Partipilo;PAR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Boer;ROM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Ryan;ROM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Smalling;ROM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Kumbulla;ROM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Sangare' B.;ROM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Joao Costa;ROM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Popa;TOR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Sazonov;EMP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Schuurs;TOR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Ferreira J.;UDI;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Ebosele;UDI;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Success;UDI;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
