player;team;appearances;average_rating;fantasy_average;goals;goals_conceded;penalties;penalties_saved;assists;yellow_cards;red_cards;season
Bozhinov;PIS;8;5,31;5,12;0;0;0 / 0;0;0;1;1;2025-26
Perin;JUV;9;6,11;5,11;0;9;0 / 0;0;0;0;0;2025-26
Turati;SAS;6;6,25;5,08;0;7;0 / 0;0;0;0;0;2025-26
Okoye;UDI;30;6,03;5,05;0;32;0 / 0;1;1;1;1;2025-26
Caprile;CAG;38;6,43;5,01;0;53;0 / 0;0;0;2;0;2025-26
Di Gennaro;INT;1;6,0;5,0;0;1;0 / 0;0;0;0;0;2025-26
Furlanetto;LAZ;2;6,5;5,0;0;3;0 / 0;0;0;0;0;2025-26
Jimenez A.;MIL;1;5,5;5,0;0;0;0 / 0;0;0;1;0;2025-26
"Dembel&#xE8; A.";TOR;1;5,0;5,0;0;0;0 / 0;0;0;0;0;2025-26
Motta;LAZ;9;5,83;5,0;0;10;0 / 0;1;0;1;0;2025-26
De Gea;FIO;37;6,19;4,95;0;49;0 / 0;1;0;0;0;2025-26
Sommer;INT;33;5,83;4,92;0;30;0 / 0;0;0;0;0;2025-26
Suzuki;PAR;20;6,18;4,9;0;28;0 / 0;1;0;1;0;2025-26
Coppola F.;PIS;5;5,1;4,9;0;0;0 / 0;0;0;3;0;2025-26
Leali;GEN;22;6,20;4,89;0;27;0 / 0;0;0;2;1;2025-26
"Montip&#xF2;";VER;35;6,14;4,89;0;54;0 / 0;3;1;0;0;2025-26
Audero;CRE;34;6,07;4,78;0;50;0 / 0;2;0;0;0;2025-26
Muric;SAS;32;6,08;4,77;0;43;0 / 0;1;0;4;0;2025-26
Stanciu;GEN;4;5,5;4,75;0;0;0 / 1;0;0;0;0;2025-26
Silvestri;CRE;4;6,5;4,75;0;7;0 / 0;0;0;0;0;2025-26
Bijlow;GEN;16;6,03;4,75;0;20;0 / 0;0;0;1;0;2025-26
Cornet;GEN;6;5,08;4,58;0;0;0 / 1;0;0;0;0;2025-26
Sportiello;ATA;1;5,5;4,5;0;1;0 / 0;0;0;0;0;2025-26
Paleari;TOR;29;6,02;4,45;0;45;0 / 0;0;0;1;0;2025-26
Semper;PIS;25;6,12;4,44;0;42;0 / 0;0;0;0;0;2025-26
Ravaglia F.;BOL;17;6,15;4,32;0;29;0 / 0;0;0;4;0;2025-26
Scuffet;PIS;7;6,21;4,07;0;15;0 / 0;0;0;0;0;2025-26
Sommariva;GEN;2;5,75;3,75;0;4;0 / 0;0;0;0;0;2025-26
Israel;TOR;9;5,78;3,72;0;18;0 / 0;0;0;1;0;2025-26
Perilli;VER;3;6,0;3,67;0;7;0 / 0;0;0;0;0;2025-26
Nicolas;PIS;6;5,83;3,5;0;14;0 / 0;0;0;0;0;2025-26
Sava;UDI;7;5,43;3,36;0;14;0 / 0;0;0;1;0;2025-26
Rossi F.;ATA;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
"Tour&#xE8; E.";ATA;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Erlic;BOL;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
